,clf1,clf2,question,replies
0,DOCTOR,"생리, 피임","여성정수리탈모치료 생각중인데, 여성정수리탈모치료 어디서받죠..여성정수리탈모치료 발머스한의원에서 받아보신분? ","[' 안녕하세요. 하이닥-네이버 지식iN 상담의 장재빈 입니다.여성정수리탈모치료를 생각하고 있으시군요.출산을 하시고 여성정수치탈모 증상이 있으신 분들이 더러 있는데요.1~5개월 사이에 많이 나타나기 시작해요.임신을 한후에 호르몬이 변화하게 되어서 머리카락이 빠지는것 인데요.생리불순으로 인해서 더욱더 악화가 된듯 하네요.물론 사람마다 차이가 있는데요.보통은 여성정수리탈모증상이 자연적으로 치유가 되는경우가 있어요.그러니까 일단 너무 크게 스트레스 받으시지 마시고 규칙적으로 운동을 하면서 고른 영양 섭취를 하시길 바라며 호전이 되지 않는경우는 산부인과등에 문의 상담을 한번 받아보시는 것도 좋은 방법이 되겠습니다.감사합니다. ', ' 안녕하세요여성정수리탈모치료 어디에서 받아야할지 고민이 많으시겠습니다저도 얼마전까지 여성정수리탈모 때문에 고생하다가결국에는 여성정수리탈모치료를 받고 호전이 된 경험자입니다\\xa0많은 여성들이 정수리탈모 때문에 고통스러워 하고 있습니다예전에만 하더라도 정수리탈모는 단순히 유전력이나남성의 질환이라고 생각하는분들이 많았습니다\\xa0그러나 요즘은 나이를 불문하고 여성에게도여성정수리탈모 증상이 흔히 나타나고 있습니다왜 여성정수리탈모 증상이 나타나는지 그 이유는 무엇이며또 여성정수리탈모치료는 어떻게 진행이 되어야할지 고민이시죠?\\xa0우선 여성정수리탈모는 가르마를 중심으로 해서 서서히 진행되는 탈모의 유형입니다여성정수리탈모의 특징은 모근의 기능이 쇠퇴한 빈모 양상을 나타내는것입니다그렇다면 왜 여성정수리탈모 증상이 일어나는걸까요?\\xa0대표적인 원인으로는 안좋은 식생활습관이라고 볼수 있습니다그런 생활이 연속되면서 몸속의 열 조절력의 문제를 일으키며 열을 발생시키고두피 사막화 현상을 초래해서 모발의 탈락 및 발모력 저하를 야기시키게 됩니다이러한 원인으로 인해서 여성정수리탈모 증상이 생기게 되는데요\\xa0그렇다면 여성정수리탈모치료는 어떻게 받아야만 할까요?말씀하신곳에서는 몸안에 나타난 문제,체열 조절의 이상을 바로잡는여성정수리탈모치료를 진행하고 있습니다뿐만 아니라 모근의 기능을 강화하는 체계적인 탈모 치료 프로그램도 구축하구요침치료,한약의 음용으로 몸 안의 전반적인 조화를 되찾게 도와줍니다\\xa0대부분 여성정수리탈모 증상의 환자분들은 단순히 두피만의 문제를 해결하려고 하는데말씀하신곳에서 하는 여성정수리탈모치료는 두피만의 문제 뿐만 아니라몸안의 문제까지 해결해야한다고 합니다여성정수리탈모치료 방법은 다양한데요위에 말씀드린 여성정수리탈모치료 방법 외에두피와 모발에 영양분을 충분히 공급해주는것도 도움이 됩니다\\xa0뿐만 아니라 식사를 꾸준히 하는것도 여성정수리탈모치료에 있어서 도움되는 방법중에 한가지죠마지막으로 두피건강에 좋은 두피케어,마사지도 수시로 하셔야 합니다참고로 저는 여성정수리탈모 증상이 많이 심하지 않았을때 발견해서여성정수리탈모치료 시작후에 호전속도가 나름 빠른편이었습니다질문자님도 여성정수리탈모치료 미루지 마시고 하루라도 빨리 시작해보시길 바랍니다감사합니다 ']"
1,DOCTOR,임신,안녕하세요저번 생리는 1월20-25일까지 했구요남자친구랑 관계를 2월 7일에 콘돔 없이 짧게 한번 하고 사정은 안했어요 그리고 2월 12일에 콘돔끼고 한번 했는데 사정 안했구요 누워있다가 콘돔 없이 하고 질외사정을 했거든요  생리 예정일이 이틀 지났는데 안해요 ㅠㅠ  가슴 통증 있고 아랫배도 생리 할때처럼 약간의 통증이 있는데 왜 생리를 안할까요... 임신 가능성 어느정도 있을까요.. ,"[' 안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 장재빈 입니다.쿠퍼액에도 소량의 정자가 포함되어 있기 때문에질외사정은 정확한 피임법이라고 할 수 없습니다.그렇기 때문에 가능성은 1%미만으로 낮으나질외사정을 하여도 임신의 가능성은 있습니다.임신여부가 불안하시다면 마지막 성관계 2주 후 즈음에임신테스트기로 확인해 보시는 것이 좋으며앞으로는 정확한 피임법(콘돔, 피임약 등)을 사용하시기 바랍니다.답변이 도움이 되시길 바라며, 질문 주셔서 감사합니다. ', ' 글보니 아직 어린 것 같은데 그 나이 땐 아직 성숙하지 않아서 불순이나오거든요. ']"
2,DOCTOR,"생리, 피임",질외사정후 24시간 내로 사후피임약 처방받았습니다 관계후 2주후 아침소변으로 임테기 한줄이였는데 요새 입맛이 없고 소화가 안되고 아랫배도 좀 아프고 감기기운이 있네요 관계후 2~3주쯤입니다 임신일까요? ,"[' 안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 장재빈 입니다.사후피임약은 24시간이내 복용시 95%의 피임성공률이 있습니다.사후피임약을 복용하여도 임신이 되는 확률이 있으므로복용 2주 후에는 임신 테스트를 해 보시는 것이 좋습니다.임신테스트기가 음성으로 나왔다고 하면 임신 가능성은 거의 없습니다.답변이 도움이 되셨길 바라며, 질문 주셔서 감사합니다. ', ' 아님니다\\xa0 . 사후 피임약으로 인해서\\xa0 임신의 가능성은\\xa0 희박하고\\xa0\\xa0 약물의\\xa0\\xa0\\xa0 작용으로\\xa0\\xa0 약을 드시고\\xa0\\xa0 7일정도후에\\xa0\\xa0 소퇴성\\xa0\\xa0 출혈이 보일것이고\\xa0\\xa0\\xa0 생리는 예정일 보다\\xa0\\xa0\\xa0 1-2주 이상으로 지연이\\xa0 됨니다\\xa0\\xa0 . ']"
3,DOCTOR,임신,여자친구 생리 주기는 28-30일 정도구요예정일이 2월9~11일 정도 였는데해외여행가서 2월 5일부터 2월 14일까지 약을 복용하여생리를 늦추어서 2월 17일날 생리를 시작하였는데19일 오늘 생리중 관계를 가졌거든요그런데 이렇게 되면원래 주기상 다음 생리 예정일(3월8-10일)의14일전인 23일이 배란일인가요 아니면생리 늦게 시작한 2월 17일부터 계산을 해야되나요도와주십시오 ㅠㅠ ,"[' 안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 장재빈 입니다.생리 중의 성관계로는 임신의 가능성이 있으나 낮습니다.그러나, 생리기간의 성관계는 염증을 일으킬 수 있는 가능성 뿐만 아니라부정 출혈이 생길 위험도 있습니다.되도록이면 생리기간 동안에는 성관계를 피해주시는 것이 좋습니다.\\xa0피임약 복용 중단후 소퇴성 출혈이 있을 수 있고 출혈이 있은다음생리가 바로 있는 경우는 많지 않습니다.다음 주기부터는 본인의 원래 생리주기로 돌아갈 가능성이 큽니다.답변이 도움이 되시길 바라며, 질문 주셔서 감사합니다. ']"
4,DOCTOR,임신,"시작은 지지난 토,일,월이고 언제인지 헷갈리는데 (일,월로예상)저번주 금요일(17일)생리가끝난걸로 알고있구 오늘 21일 관계를가졌습니다 콘돔은 안했는데 질외사정을했는데 가능성 낮을까요??? ","[' 안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 장재빈 입니다.쿠퍼액에도 소량의 정자가 포함되어 있기 때문에질외사정은 정확한 피임법이라고 할 수 없습니다.그렇기 때문에 가능성은 1%미만으로 낮으나질외사정을 하여도 임신의 가능성은 있습니다.임신여부가 불안하시다면 마지막 성관계 2주 후 즈음에임신테스트기로 확인해 보시는 것이 좋으며앞으로는 정확한 피임법(콘돔, 피임약 등)을 사용하시기 바랍니다.답변이 도움이 되시길 바라며, 질문 주셔서 감사합니다. ', ' 질외사정이면 실수로 조금 들어가지 않았을 시는 절대 안됩니다. ']"
5,DOCTOR,임신,2월9일날 정도 생리가끝나고 오늘 관계를 안끼고햇는대 쌀때쯤 빼서 쌋는대 1번싼곳이 질입구엿습니다 정액을 묻은걸 살짝 손가락으로 빼고 휴지로 속을 닦았?습니다 그리고 혀?로도 조금 넣고???해흡니다 임신가능할까요? ,"[' 안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 장재빈 입니다.쿠퍼액에도 소량의 정자가 포함되어 있기 때문에질외사정은 정확한 피임법이라고 할 수 없습니다.그렇기 때문에 가능성은 1%미만으로 낮으나질외사정을 하여도 임신의 가능성은 있습니다.임신여부가 불안하시다면 마지막 성관계 2주 후 즈음에임신테스트기로 확인해 보시는 것이 좋으며앞으로는 정확한 피임법(콘돔, 피임약 등)을 사용하시기 바랍니다.답변이 도움이 되시길 바라며, 질문 주셔서 감사합니다. ', ' 1. 여자분의 생리주기를 기제해주세요2.현상황에서는 남자분께서 관계중 여자분의 질내에서 살짝정액을 흘렸을수도 있습니다 1번내용을 답변해주세요3.질안의 정자는 약3일정도 살아있습니다 (자궁안에서도)궁금한사항 있을시https://open.kakao.com/o/stvdCZs 혹은 댓글남겨주세요 오픈체팅방은 1대1식이며 익명입니다답변)))))답글을보시니 가임기는아니지만 여자분께서 많이걱정하시면 인근병원으로 가셔가지고 사후피임약 복용하시면 됩니다 또한여성분이 스트래스를 많이받으시면 생리일이 늦어질경우도 있습니다 (참고로 가임기가 아니여도 임신확률은 존재합니다) ']"
6,DOCTOR,임신,여자친구랑오늘21일 관계를 가졌습니다 생리는 그 저번주 금요일인가 토요일끝난거로알고있구요 사정은 밖에다했는데 임신가능성 있을까요??? ,"[' 안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 장재빈 입니다.생리주기가 규칙적인 경우다음 생리 예정일 14일 전이 배란기이며배란 예정일 3-5일 전후가 가임기입니다.생리 주기가 불규칙하다면 생리일을 제외하고는항상 임신가능성은 있습니다.또한 쿠퍼액에도 소량의 정자가 흘러 나옵니다.확률은 1%미만으로 낮지만 쿠퍼액으로도 임신은 가능합니다.관계후 2주가 지난날짜에 임신반응 검사를 해보시기 바랍니다.답변이 도움이 되시길 바라며, 질문 주셔서 감사합니다. ', ' 생리가끝난지 얼마되지않았으니 가임기도 아닌것같고요 임신가능성이 0%다 라고 할순없지만 낮은편이니 걱정안해도될듯합니다 ']"
7,DOCTOR,"생리, 피임","저번달까지 머시론을 복용하고 이번달은 복용하지 않으려고 했는데, 15,16,17일에 어디 가야해서 생리 미루려고 또 복용했네요.. 미루려고 10일정도 복용했어요.19일에 약 끊고 생리 기다리는중인데. 피임 목적으로 약을 다시 먹으려면 생리첫날부터 21일복용이 맞나요? ","[' 안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 장재빈 입니다.경구피임약은 생리 시작일 부터 스케줄 대로 정해진 시간에꾸준히 복용하셔야만 피임의 효능이 있습니다.복용 후 2주 후부터\\xa0 피임효과를 보실 수 있으므로콘돔을 함께 사용하시는 것이 안전합니다.답변이 도움이 되셨길 바라며,\\xa0질문 주셔서 감사합니다. ', ' 생리를 미루기 위한 용도로 짧게 약을 복용했다면 생리를 시작하면 가급적 일찍 약 복용을 시작하시는 것이\\xa0도움이 됩니다.\\xa0일주일 휴약보다는 빨리 시작을 하는 편이 피임효과에 좋습니다. ']"
8,DOCTOR,임신,임신하고는 출혈같은게 있을수있나요?제가 12월 31일이 생리시작한지3일되는날에 관계를했고요1월21일에 약5일동안생리를했고2월18일에 생리를시작했는데 지금양도거의 줄고 1일째는 그저그랬는데 2일째부터양이 확줄고 오늘은 그냥 생리대 중?으로 하루버틸만큼 적습니다..볼일도 닦을때 생리혈도 안보입니다ㅠㅠ그리고 약간갈색이돌아요...생리통도 더심해지고..바늘로찌르듯이? 그리고 약간속도안좋고..이게정말생리맞을까요..그리고임신가능성이있을까요?자세한설명부탁드려요ㅠ ,"[' 안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 장재빈 입니다.성관계 후 정상적으로 생리를 하셨다면 임신의 가능성은 거의 없습니다.생리가 나온다는 것은 생리 시작 2주전에배란이 되었다는 것이고 난자는 24시간정도생존을 하고 수정이 되지 않으면 자궁내벽이허물어지는 것이 생리이므로 임신이 되지 않았다는 것입니다.너무 걱정하지 마시고 불안하시다면 임신반응 검사를 해보시기 바랍니다.답변이 도움이 되셨길 바라며, 질문 주셔서 감사합니다. ', ' 1.임신가능성은 0%입니다2.본인께서 관계후 생리를하셧다는의미는 임신이 안됬다는 뜻입니다3.본인의 불안 혹은 지병으로 생리가줄어들수 있습니다 산부인돠 방문을 권장합니다궁금한사항 있을시https://open.kakao.com/o/stvdCZs 혹은 댓글남겨주세요 오픈체팅방은 1대1식이며 익명입니다 ']"
9,DOCTOR,"생리, 피임",안녕하세요남친이랑 2월10 일에 관계했는데요 피임진짜겁나확실하게 했거든요ㅜㅜㅜㅜㅜ 콘돔을 끼고 사정도 체외에다가 남친이 직접 손으로 성기 자극해서 사정하고 그 다음에 샤워를 했어요 물론 남친만요. 그리고선 한 번 더 관계를 했는데 그때도 새 콘돔으로 똑같이 질외에다가 사정 전에 성기를 꺼내서 따로 자극한 뒤에 사정을 했어요 그리고 그 콘돔도 버리고 같이 샤워했어요.. 대딩이라서 방학이구 그래서 스트레스 받을 일도 없는데 왜 ㅜㅜㅜ 왜 안하는 걸까요ㅜㅜㅠㅡ 체중변화도 없고 특별히 약 먹는 것도 없는데 왜죠ㅜㅜㅜㅜㅠ 생리예정일이 16일인데 21일인 지금 까지도 안해요 ,"[' 안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 장재빈 입니다.생리주기가 규칙적인 경우다음 생리 예정일 14일 전이 배란기이며배란 예정일 3-5일 전후가 가임기입니다.생리가 불규칙하다면 항상 임신 가능성은 있습니다.가임기라 할지라도 콘돔 사용법을 잘 숙지하여피임을 정확하게 하셨다면 임신의 가능성은 거의 낮습니다.그래도 불안하시다면 관계후 2주가 지난날짜에임신반응 검사를 해보시기 바랍니다.답변이 도움이 되셨길 바라며, 감사합니다. ', ' 방학이라 스트레스받을일이 없어도지금 질문자가 여기 지식인에 물어보는것 자체가 일단\\xa0신경쓰고 있는겁니다피임방법에 문제가 없어보이니 임신가능성은없습니다하루이틀정도 늦어지다보면 심리가 자꾸 불안해져서 스트레스를 받아서더 늦어지고 있는겁니다마음 편히 가지시고 기다리시면 시작할겁니다 ㅎ ']"
