<<<<<<< HEAD
,clf1,clf2,question,replies
0,LABOR,근로기준,"저희직원분중에한분이퇴직을하시는데,이분이신용불량자분이시라서세무서나다른4대보험에신고된월급은150이며저희회사측에서따로몰래 추가로350을더지급해서월급이나가고있는상태입니다.이경우에는150만원에대한퇴직금을지급해야하는지,500만원에대한퇴직금을지급해야하는지요~?그리고 \xa0이분이\xa0회사\xa0명의가\xa0아닌\xa0다른분의 명의로\xa0차를\xa0리스해서\xa0저희\xa0회사측에서 리스료를\xa0내오다가회사측의\xa0명의가 아니라 그만큼 수익으로 잡혀 손해를 보게 되어 1년동안\xa0지급을\xa0하지\xa0않았습니다. 이럴 경우 차량 리스료도 지급을 해줘야 하나요~? ",[' 안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 최창국 입니다.1. 퇴직금 문제퇴직금은 실제 지급한 임금을 기준으로 산정하여 지급해 주어야 합니다. 따라서 500만원을 기준으로 산정하여 지급해 주어야 합니다.2. 리스료 문제리스료 문제는 사용자측과 근로자측의 민사계약에 따른 것에 불과하여 약정한 계약내용에 따라 리스료 지급여부가 결정됩니다. 민사 계약상 리스료를 회사에서 실제 부담해 주기로 한 경우라면 지급을 해야 할 것으로 보입니다. 민사 계약문제는 변호사의 상담을 받아 처리 하세요. ']
1,LABOR,산업재해보상보험,제목 그대로 유족보상수급권자 와 유족급여수급권자의 순위가 다르던데 다른게 맞나요? ,"[' 안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 최창국 입니다.1. 유족급여 중 보상일시금 수급권자 순위유족보상일시금 따른 유족 간의 수급권의 순위는 다음 각 호의 순서로 하되, 각 호의 자 사이에서는 각각 그 적힌 순서에 따른다. 이 경우 같은 순위의 수급권자가 2명 이상이면 그 유족에게 똑같이 나누어 지급한다.1. 근로자가 사망할 당시 그 근로자와 생계를 같이 하고 있던 배우자·자녀·부모·손자녀 및 조부모2. 근로자가 사망할 당시 그 근로자와 생계를 같이 하고 있지 아니하던 배우자·자녀·부모·손자녀 및 조부모 또는 근로자가 사망할 당시 근로자와 생계를 같이 하고 있던 형제자매3. 형제자매② 제1항의 경우 부모는 양부모(養父母)를 선순위로, 실부모(實父母)를 후순위로 하고, 조부모는 양부모의 부모를 선순위로, 실부모의 부모를 후순위로, 부모의 양부모를 선순위로, 부모의 실부모를 후순위로 한다.③ 수급권자인 유족이 사망한 경우 그 보험급여는 같은 순위자가 있으면 같은 순위자에게, 같은 순위자가 없으면 다음 순위자에게 지급한다.2. 유족급여 중 보상연금 수급권자 순위① 유족보상연금을 받을 수 있는 자격이 있는 자(이하 ""유족보상연금 수급자격자""라 한다)는 근로자가 사망할 당시 그 근로자와 생계를 같이 하고 있던 유족(그 근로자가 사망할 당시 대한민국 국민이 아닌 자로서 외국에서 거주하고 있던 유족은 제외한다) 중 배우자와 다음 각 호의 어느 하나에 해당하는 자로 한다. 이 경우 근로자와 생계를 같이 하고 있던 유족의 판단 기준은 대통령령으로 정한다.\\xa0\\xa01. 부모 또는 조부모로서 각각 60세 이상인 자2. 자녀 또는 손자녀로서 각각 19세 미만인 자3. 형제자매로서 19세 미만이거나 60세 이상인 자4. 제1호부터 제3호까지의 규정 중 어느 하나에 해당하지 아니하는 자녀·부모·손자녀·조부모 또는 형제자매로서 「장애인복지법」 제2조에 따른 장애인 중 고용노동부령으로 정한 장애등급 이상에 해당하는 자② 제1항을 적용할 때 근로자가 사망할 당시 태아(胎兒)였던 자녀가 출생한 경우에는 출생한 때부터 장래에 향하여 근로자가 사망할 당시 그 근로자와 생계를 같이 하고 있던 유족으로 본다.③ 유족보상연금 수급자격자 중 유족보상연금을 받을 권리의 순위는 배우자·자녀·부모·손자녀·조부모 및 형제자매의 순서로 한다.3. 유족보상 수급권자 순위①법 제82조제2항에 따른 유족의 범위는 다음 각 호와 같다. 이 경우 유족보상의 순위는 다음 각 호의 순서에 따르되, 같은 호에 해당하는 경우에는 그 적힌 순서에 따른다.1. 근로자가 사망할 때 그가 부양하고 있던 배우자(사실혼 관계에 있던 자를 포함한다), 자녀, 부모, 손(孫) 및 조부모2. 근로자가 사망할 때 그가 부양하고 있지 아니한 배우자, 자녀, 부모, 손 및 조부모3. 근로자가 사망할 때 그가 부양하고 있던 형제자매4. 근로자가 사망할 때 그가 부양하고 있지 아니한 형제자매②유족의 순위를 정하는 경우에 부모는 양부모를 선순위로 친부모를 후순위로 하고, 조부모는 양부모의 부모를 선순위로 친부모의 부모를 후순위로 하되, 부모의 양부모를 선순위로 부모의 친부모를 후순위로 한다. ']"
2,LABOR,근로기준,한달 뒤에 수목금 이렇게 사용하려고 하는데휴가계 올리기전에 미리 구두로 말씀드렸는데승인 안해주시려고 하는거 같아서요.이럴경우 결제자에세 뭐라고 대응해야 할까요. ,"[' 안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 최창국 입니다.1. 근로기준법 제 60조⑤ 사용자는 제1항부터 제4항까지의 규정에 따른 휴가를 근로자가 청구한 시기에 주어야 하고, 그 기간에 대하여는 취업규칙 등에서 정하는 통상임금 또는 평균임금을 지급하여야 한다. 다만, 근로자가 청구한 시기에 휴가를 주는 것이 사업 운영에 막대한 지장이 있는 경우에는 그 시기를 변경할 수 있다.2. 질문에 대한 답변근로기준법 제 60조 5항에 따라 연차휴가 사용에 대한 시기지정권은 근로자에게 있으므로 근로자가 3일을 청구한 경우 사용자는 사업운영에 막대한 지장을 초래하는 경우가 아닌 한\\xa0의무적으로 연차휴가 사용을 허용해야 합니다. 이를 위반할 경우 근로기준법 제 60조 위반으로 사용자가 형사처벌 될 수 있습니다. ', ' 안녕하세요본인공백일경우에 회사업무에 지장이가는것때문이 아닐까합니다.휴가가는이유를(해외여행이라던지 부모님요양이라던지 배낭여행이던지말씀드리고)업무에 지장가지 않도록 미리 처리하고 가겠다라고 말씀하세요.연차있으시니까 사용하는건 본인마음입니다.채택해주세요^^ ']"
3,LABOR,근로기준,두달째 퇴직금을 못받고있습니다.돈이 필요한데 못받고있으니 더 급해지는데 신고를 할경우 처리 기간은 얼마나 걸릴까요?? ,"[' 안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 최창국 입니다.1. 임금체불 진정사건(퇴직금 미지급) 기본 처리기간은 25일 입니다.2. 하지만 사용자의 협조여하에 따라 기간이 단축될 수도 있고, 1회 ~ 2회 기일이 연장될 수도 있습니다. ', ' 보통은 2달 전후입니다.그러나 사장이 돈이 없다고 버티면 대책이 없고 몇년이 갈수 있습니다. ']"
4,LABOR,근로기준,입사는 2월말쯤하고 근로계약서는 3월에 작성했는데요저는 올해 2월까지가 1년이라 당연히 퇴직금 받는다 생각하고 퇴사의사를 밝혔는데요 대답도 안하시더니 나중에 다른 직원통해서 28일까지 나오고 나오지 말라하셔서 느끼이 이상해서 퇴직금을 물어봤더니 계약서대로 해야된다고 하면서 넌 2월말 퇴사의사를 밝혔기때문에 28일까지하고 나가라고 퇴직금을 지급못해주겠답니다. 그래서 그러실거면 계약한 날짜까지 있겠다고하니 꼴보기싫다고 당장 나가랍니다 다 녹음은 한상태구요 이런경우 어떻게 되는건가요??여기 너무 더러워서 이렇게 된 마당에 차라리 실업급여를 받으려고하는데요..... ,"[' 안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 최창국 입니다.1. 사용자가 퇴직금을 지급하지 않기 위해 해고일자 30일 전에 해고예고 없이 해고한 경우 통상임금 30일분의 해고예고수당을 사용자에게 청구할 수 있습니다.2. 사직의 의사를 철회 했음에도 사용자가 일방적으로 해고하면 실업급여 수급자격이 인정되는 비자발적인 이직에 해당합니다.3. 사업장 상시 근로자 수가 5인 이상이라면 사업장 관할 노동위원회에 부당해고 구제신청을 제기하여 해고의 정당성을 판단 받을 수 있습니다. ', ' 오늘도 답 해줬더니 엉뚱한거 댑다 채택하던데.....해고예고수당을 청구하고 그만두시거나요.부당해고구제신청을 하고서 원래 퇴사일까지 재직하는 방법이 있어요. (퇴직금 발생)실업급여는 두 경우 모두 안 나와요. ', ' 답변드리겠습니다.많이힘드셨겠습니다. 두가지 방법이 있는데,1째는 실업급여를 받으려면 본인의 자발적 퇴사가아닌 회사의 자체적 문제로 퇴사가 발생할때실업급여를 받을 자격조건이 되기에 그런 자격이충족되는지 고용안전센타에 문의전 회사와의마무리를 잘하셔야 할듯합니다.2째로는 회사의 일방적인 해고와 같은 것이기에서면으로 30일전에 해고예고를 하지 않았으므로""해고예고수당""을 사업주에게 청구할수 있고 만일불응시에는 ""관할지청고용노동부"" 근로감독관에게 진정하시면 친절히 도와주시리라 사료되어지네요.잘해결하시길 바랍니다. ']"
5,LABOR,근로기준,최저임금(1262500) 으로 받고 있고 2014년 11월 1일 근무 시작\xa0 2017년 2월 28일 퇴직했을 경우퇴지금이 얼마일까요? ,"[' 안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 최창국 입니다.1. 퇴직금은 퇴직 전 최종 3개월 세전 평균임금을 기준으로 산정합니다. 세전 월급이 1262500원인 경우 퇴직금은 294만원 정도입니다.2. 참고로 2017년 최저시급은 6,470원입니다. 따라서 1일 8시간 근로 + 주 5일 근로하는 근로자의 최저월급은 1,352,230원입니다. 질문자가 1주 40시간 근로하는 근로자라면 2017년 1월 + 2월 월급은 1,352,230원 이상이 되어야 최저임금 위반이 되지 않습니다. 따라서 이 기준으로 퇴직금을 산정하면 308만원 정도가 됩니다. ', ' 17년도는 저 임금 아닙니다. (최저가) ']"
6,LABOR,근로기준,월 ~ 금요일 까지 오전 9시출근 오후7시 퇴근이구요 오전12시부터 오후1시까지 점심시간입니다.그리고 격주로 토요일마다 근무하는데요 오전 9시출근 오후 3시 퇴근 입니다. 점심시간은 평일이랑 동일하구요세전 월급이 150만원 입니다. 위에 대로라면 세전 최저월급이 얼마여야하는건가요??? ,"[' 안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 최창국 입니다.1. 2017년 최저시급은 6,470원입니다.2. 평일 9시간 근로 + 격주 토요일 5시간 근로 + 사업장 상시 근로자 수가 5인 이상인 경우 최저시급 기준 세전 월급은 1,668,491원이 됩니다. ']"
7,LABOR,근로기준,"근무는 2015.07.20 ~ 2017.02.25고, 듣기로는 2015.07.20~2016.02.28까지 세금 떼기 전에 1,170,000만이구요 대충, 2016.03.01~2017.02.25까지 세금 떼기 전에 1,260,000만이예요. 그럼 퇴직금은 얼마쯤 되나요? 빠르고 정확한 계산 부탁드립니다. ",[' 안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 최창국 입니다.1. 퇴직금은 퇴직 전 최종 3개월 세전 평균임금을 기준으로 산정합니다.2. 최종 3개월 세전 월급이 126만원인 경우 퇴직금은 198만원 정도입니다. ']
8,LABOR,근로기준,하루 10시간= 근무9시간 점심시간1시간주 6일 근무 입니다. 9x6= 54시간 x4주 216시간입니다.5인이상 사업장시 급여와5인미만 사업장시 급여좀 알려주세요!주휴수당 및 기본급 다른수당 받을수있는것주휴수당은 주 40시간과 그초과시간과 금액이 동일한지 아닌지또 사장이 기본적인보험은 들어놨다는데 그건 무엇이며\xa0 4대보험과 별개인지\xa04대보험 어떻게 들어야하는지와 퇴직금이란 4대보험가입시 받는것인지보험 가입시 고용주와 제가\xa0 금액 부담은 어떻게 해야 하는지 \xa0알려주시면 정말 !!감사하겠습니다. ,"[' 안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 최창국 입니다.1. 2017년 최저시급은 6470원입니다. 휴게시간(점심시간)은 근로시간에서 제외됩니다.2. 1일 9시간 근로 + 주 6일 근로하는 경우 최저시급 기준 월급(주휴수당 + 연장근로 임금 포함)은 아래와 같습니다.1) 상시 근로자 수가 5인 미만인 경우 : 1,745,800원2) 상시 근로자 수가 5인 이상인 경우 : 1,942,585원3. 월 60시간 이상 근로하는 근로자는 의무적으로 4대보험에 가입해야 하고, 4대보험료를 50%씩 반반 부담해야 합니다. 4대보험 가입과 관계없이 사용자에게 고용되어 1년 이상 계속 근로하다 퇴사할 경우 퇴직금을 지급받을 수 있으나 4대보험을 가입하지 않으면 사용자들은 퇴직금을 지급하지 않으려는 경향이 강하니 반드시 4대보험에 가입하세요. ']"
9,LABOR,근로기준,주말알바 퇴직금받을려고 하는데요소정 근로시간이 주말다해서 17시간입니다1년 10개월 했구요.15시간이 넘으니깐 받을수 있다는데제가 하루정도 결근한 주나 한달은빼고 계산하나요?아니면 안빼고 그달 근로일수 다 포함해서 계산하나요?? ,"[' 안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 최창국 입니다.1. 사용자와 근로계약시 약정한 1주 소정근로시간이 15시간 이상이면 퇴직금 발생대상에 해당합니다.2. 결근이 있어 실 근로시간이 15시간 미만이 되는 기간이 있더라도 퇴직금 발생대상인 계속 근로기간에 포함이 됩니다, ', ' 안녕하세요^^ 귀하의 질문에 답변을 드립니다.1주 15시간 이상, 근로단절없이 1년 이상계속근로하신 경우에는 퇴직금이 발생합니다.사업주와 근로하기로 약속한 시간이1주 17시간이므로근로도중에 지각, 조퇴, 결근으로 인해1주 15시간 미만이라 하더라도실제 근로시간과 상관없이소정근로시간이 1주 15시간 이상이므로1년 10개월에 대한퇴직금을 지급받을 수 있습니다.제 답변이 도움이 되셨기를 바랍니다. ']"
