,loc1,loc2,name,location,loc
0,경기,부천시,상동센타점,"경기도 부천시 원미구 상동로 81, 센타프라자 (상동) 105호",경기 부천시
1,경기,부천시,상동원미점,경기도 부천시 원미구 길주로 70 강산타운,경기 부천시
2,경기,부천시,상동풍림점,경기도 부천시 원미구 부흥로 49 백송마을풍림아이원,경기 부천시
3,경기,부천시,상동하나점,"경기도 부천시 원미구 상이로39번길 7-9, (상동)",경기 부천시
4,대구,수성구,상동황금점,"대구광역시 수성구 청수로12길 12, (상동)",대구 수성구
5,충남,천안시,상록리조트유스호스텔,"충청남도 천안시 동남구 수신면 수신로 576, 천안상록리조트내유스호스텔  (장산리)",충남 천안시
6,경기,안산시,상록본오센터점,경기도 안산시 상록구 석호로 348,경기 안산시
7,경기,안산시,상록수밀레니엄점,"경기도 안산시 상록구 매화로2길 43-2, 일부  (일동)",경기 안산시
8,경기,의정부시,상록아이파크점,"경기도 의정부시 부용로 172, (신곡동, 상록아이파크)",경기 의정부시
9,경기,안산시,상록월드점,"경기도 안산시 상록구 본삼로 49, 대명빌딩 (본오동) 105호",경기 안산시
10,서울,종로구,상명구기점,"서울특별시 종로구 진흥로22길 17, (구기동)",서울 종로구
11,서울,종로구,상명대점,"서울특별시 종로구 홍지문2길 20, (홍지동) 상명대학교",서울 종로구
12,광주,서구,상무광장점,"광주광역시 서구 상무번영로 41, (치평동)",광주 서구
13,광주,서구,상무라인점,"광주광역시 서구 마륵로 134, (치평동)",광주 서구
14,광주,서구,상무로잔티움점,"광주광역시 서구 시청로96번길 15, (치평동)",광주 서구
15,광주,서구,상무매화점,"광주광역시 서구 상무중앙로38번길 6, (치평동)",광주 서구
16,광주,서구,상무스타점,"광주광역시 서구 상무시민로 136, (치평동)",광주 서구
17,광주,서구,상무우량점,"광주광역시 서구 상무시민로 95-2, (치평동)",광주 서구
18,광주,서구,상무우정점,"광주광역시 서구 상무중앙로34번길 12, (치평동)",광주 서구
19,광주,서구,상무유지점,"광주광역시 서구 상무연하로 96, (치평동)",광주 서구
