,loc1,loc2,name,location
0,충청남도,당진시,당진원당삼거리점,"충청남도 당진시 원당로 80, (원당동)"
1,충청남도,당진시,당진원당점,"충청남도 당진시 밤절로 152, 송연프라자 (수청동)"
2,충청남도,당진시,당진유곡점,"충청남도 당진시 송산면 송산로 763, (유곡리)"
3,충청남도,당진시,당진읍내빌리지점,충청남도 당진시 무수동5길 9
4,충청남도,당진시,당진읍내사랑점,충청남도 당진시 무수동4길 8-69 해오름
5,충청남도,당진시,당진읍내스타점,"충청남도 당진시 북문로1길 37-7, (읍내동)"
6,충청남도,당진시,당진읍내점,"충청남도 당진시 계성3길 22, (읍내동)"
7,충청남도,당진시,당진읍내타운점,"충청남도 당진시 무수동안길 5, (읍내동)"
8,충청남도,당진시,당진읍사무소점,"충청남도 당진시 당진시장길 22, (채운동)"
9,충청남도,당진시,당진일교점,충청남도 당진시 백암로 247 미담
10,충청남도,당진시,당진장고항점,"충청남도 당진시 석문면 장고항로 296-4, (장고항리)"
11,충청남도,당진시,당진전망대점,"충청남도 당진시 신평면 삽교천3길 93, (운정리) F동 153호"
12,충청남도,당진시,당진종합병원점,"충청남도 당진시 반촌로 5-15, (시곡동)"
13,충청남도,당진시,당진주공점,"충청남도 당진시 밤절로 103, (원당동, 원당마을주공1단지아파트)"
14,충청남도,당진시,당진중앙로점,"충청남도 당진시 당진중앙2로 110, (읍내동)"
15,충청남도,당진시,당진채운점,"충청남도 당진시 시장중앙길 27, (채운동)"
16,충청남도,당진시,당진채운탑동점,"충청남도 당진시 대호만로 30-40, (채운동)"
17,충청남도,당진시,당진코아루점,"충청남도 당진시 신평면 거산3거리길 74-11, (거산리, 당진신평코아루)"
18,충청남도,당진시,당진탑동사거리점,"충청남도 당진시 대호만로 2-9, 일진조경농원화원 (채운동)"
19,충청남도,당진시,당진합덕산업단지점,"충청남도 당진시 합덕읍 합덕산단2로 6, (석우리)"
20,충청남도,당진시,당진휴먼빌점,"충청남도 당진시 무수동옛길 84, (읍내동)"
21,,,당진힐스테이트후문점,
22,인천광역시,서구,당하원룸점,"인천광역시 서구 청마로148번길 24, (당하동)"
23,인천광역시,서구,당하점,"인천광역시 서구 원당대로 841, (원당동)"
24,인천광역시,서구,당하탑스빌점,인천광역시 서구 서곶로 818 영남탑스빌아파트
