,ID,x,y,광역시도,시도
0,강릉,11,3,강원도,강릉시
1,고성(강원),10,0,강원도,고성군
2,동해,11,4,강원도,동해시
3,삼척,11,5,강원도,삼척시
4,속초,10,1,강원도,속초시
5,양구,9,0,강원도,양구군
6,양양,10,2,강원도,양양군
7,영월,10,7,강원도,영월군
8,원주,10,5,강원도,원주시
9,인제,8,1,강원도,인제군
10,정선,10,3,강원도,정선군
11,철원,7,0,강원도,철원군
12,춘천,9,1,강원도,춘천시
13,태백,10,4,강원도,태백시
14,평창,10,6,강원도,평창군
15,홍천,8,2,강원도,홍천군
16,화천,8,0,강원도,화천군
17,횡성,9,2,강원도,횡성군
18,가평,7,3,경기도,가평군
19,과천,8,7,경기도,과천시
20,광명,4,4,경기도,광명시
21,광주,9,7,경기도,광주시
22,구리,8,3,경기도,구리시
23,군포,5,9,경기도,군포시
24,수원 권선,5,10,경기도,권선구
25,용인 기흥,8,9,경기도,기흥구
26,김포,4,3,경기도,김포시
27,남양주,7,2,경기도,남양주시
28,안산 단원,3,8,경기도,단원구
29,고양 덕양,3,2,경기도,덕양구
30,동두천,4,1,경기도,동두천시
31,안양 동안,3,5,경기도,동안구
32,안양 만안,3,4,경기도,만안구
33,성남 분당,7,8,경기도,분당구
34,안산 상록,3,7,경기도,상록구
35,부천 소사,2,4,경기도,소사구
36,성남 수정,8,8,경기도,수정구
37,용인 수지,9,8,경기도,수지구
38,시흥,3,6,경기도,시흥시
39,안성,4,10,경기도,안성시
40,양주,3,1,경기도,양주시
41,양평,9,4,경기도,양평군
42,여주,9,5,경기도,여주시
43,연천,5,1,경기도,연천군
44,수원 영통,7,9,경기도,영통구
45,오산,3,10,경기도,오산시
46,부천 오정,2,6,경기도,오정구
47,부천 원미,2,5,경기도,원미구
48,의왕,6,9,경기도,의왕시
49,의정부,7,1,경기도,의정부시
50,이천,9,6,경기도,이천시
51,고양 일산동,4,2,경기도,일산동구
52,고양 일산서,3,3,경기도,일산서구
53,수원 장안,6,10,경기도,장안구
54,성남 중원,7,7,경기도,중원구
55,용인 처인,9,9,경기도,처인구
56,파주,2,3,경기도,파주시
57,수원 팔달,6,11,경기도,팔달구
58,평택,4,11,경기도,평택시
59,포천,6,1,경기도,포천시
60,하남,9,3,경기도,하남시
61,화성,3,9,경기도,화성시
62,거제,8,22,경상남도,거제시
63,거창,6,16,경상남도,거창군
64,고성(경남),7,22,경상남도,고성군
65,김해,9,20,경상남도,김해시
66,남해,6,22,경상남도,남해군
67,창원 합포,8,19,경상남도,마산합포구
68,창원 회원,7,21,경상남도,마산회원구
69,밀양,8,17,경상남도,밀양시
70,사천,6,21,경상남도,사천시
71,산청,5,19,경상남도,산청군
72,창원 성산,7,20,경상남도,성산구
73,양산,7,19,경상남도,양산시
74,의령,7,18,경상남도,의령군
75,창원 의창,6,20,경상남도,의창구
76,진주,6,18,경상남도,진주시
77,창원 진해,8,20,경상남도,진해구
78,창녕,7,17,경상남도,창녕군
79,통영,8,21,경상남도,통영시
80,하동,5,20,경상남도,하동군
81,함안,6,19,경상남도,함안군
82,함양,6,17,경상남도,함양군
83,합천,7,16,경상남도,합천군
84,경산,11,12,경상북도,경산시
85,경주,12,12,경상북도,경주시
86,고령,9,13,경상북도,고령군
87,구미,10,10,경상북도,구미시
88,군위,10,11,경상북도,군위군
89,김천,9,11,경상북도,김천시
90,포항 남구,12,11,경상북도,남구
91,문경,10,8,경상북도,문경시
92,봉화,11,8,경상북도,봉화군
93,포항 북구,12,10,경상북도,북구
94,상주,8,11,경상북도,상주시
95,성주,11,13,경상북도,성주군
96,안동,10,9,경상북도,안동시
97,영덕,11,7,경상북도,영덕군
98,영양,11,9,경상북도,영양군
99,영주,9,10,경상북도,영주시
100,영천,10,12,경상북도,영천시
101,예천,8,10,경상북도,예천군
102,울릉,13,8,경상북도,울릉군
103,울진,11,6,경상북도,울진군
104,의성,11,11,경상북도,의성군
105,청도,10,13,경상북도,청도군
106,청송,11,10,경상북도,청송군
107,칠곡,9,12,경상북도,칠곡군
108,광주 광산,2,21,광주광역시,광산구
109,광주 남구,2,23,광주광역시,남구
110,광주 동구,3,23,광주광역시,동구
111,광주 북구,3,22,광주광역시,북구
112,광주 서구,2,22,광주광역시,서구
113,대구 남구,9,15,대구광역시,남구
114,대구 달서,8,16,대구광역시,달서구
115,대구 달성,9,16,대구광역시,달성군
116,대구 동구,10,15,대구광역시,동구
117,대구 북구,8,14,대구광역시,북구
118,대구 서구,8,15,대구광역시,서구
119,대구 수성,10,14,대구광역시,수성구
