loc1,loc2,name,location
경기,부천시,GS252테크노파크점,"경기 부천시 오정구 석천로345, 300동 114호(삼정동 365)"
강원,양양군,GS2538선휴게소점,"강원 양양군 현북면 동해대로1242, 38선휴게소 (잔교리 41-10, 38휴게소)"
서울,양천구,GS25CBS점,"서울 양천구 목동서로159-1 (목1동 917-1, CBS방송국1층)"
서울,마포구,GS25DDMC점,"서울 마포구 매봉산로75, 1층 107호 (상암동 1610)"
서울,중구,GS25DDP점,서울 중구 을지로281 (을지로7가 2-1)
서울,서대문구,GS25DMC가재울점,서울 서대문구 남가좌동124-1번지 DMC파크뷰자이 203동 101호
충북,청주시,GS25GS상당점,충북 청주시 상당구 호미로165번길64 (용암동 2682)
전남,여수시,GS25GS칼텍스점,전남 여수시 여수산단로918(적량동 1320)
인천,강화군,GS25G강화가나안점,인천 강화군 화도면 해안남로2351 (장화리 1106-2)
서울,강동구,GS25G고덕점,서울 강동구 고덕로39 (암사3동 441-14)
서울,영등포구,GS25G국회대로점,서울 영등포구 국회대로746 (여의도동 17-2)
대구,달서구,GS25G대구대림공단점,대구 달서구 달서대로403 (호림동 482-2)
대전,대덕구,GS25G대전갑천점,대전 대덕구 아리랑로55번길187 (신대동 426)
대전,대덕구,GS25G대전톨게이트점,대전 대덕구 동서대로1762 (비래동 557-6)
대전,서구,GS25G둔산우리점,대전 서구 청사로224 (둔산2동 916)
전남,목포시,GS25G목포합동점,전남 목포시 영산로696 (석현동 489-2)
서울,서초구,GS25G서초연일점,"서울 서초구 남부순환로2451 (서초1동 1426-13, 연일주유소)"
세종,세종로1328,GS25G세종로점,세종 세종로1328 (아름동 816)
경기,시흥시,GS25G시화공단점,"경기 시흥시 공단1대로256, 102호(정왕1동 1367-2, 시화공단3다)"
경기,시흥시,GS25G시흥하우로점,"경기 시흥시 하우로26-1, GS칼텍스 하우고개주유소 내 1층 (대야동 57-5)"
충남,천안시,GS25G신방우리네점,"충남 천안시 동남구 서부대로235 (신방동 49-25, 우리네주유소)"
서울,서초구,GS25G신사남서울점,"서울 서초구 나루터로83 (잠원동 13-6, 남서울주유소)"
서울,영등포구,GS25G여의도점,"서울 영등포구 은행로64, GS칼텍스內편의점(여의도동 10-1)"
인천,중구,GS25G오토피아점,인천 중구 축항대로291번길10 (신흥동3가 33-35)
대전,유성구,GS25G유성온천,대전 유성구 도안대로583 (봉명동 554-6)
인천,부평구,GS25G일신동양점,인천 부평구 경인로1130 (일신동 109-12)
경기,시흥시,GS25G정왕IC점,경기 시흥시 서해안로590(정왕동 1112-2)
전남,순천시,GS25G조례연향점,전남 순천시 이수로307 (조례동 1720-5)
경남,창원시,GS25G창원관문점,경남 창원시 성산구 공단로22 (신촌동 19-1)
강원,춘천시,GS25G춘천푸른강산점,강원 춘천시 춘천로22 (퇴계동 1187)
경기,파주시,GS25G파주조인점,경기 파주시 창곡동길27 (야동동 151-12)
대구,수성구,GS25G황금캐슬점,대구 수성구 청수로172 (지산동 932)
광주,남구,GS25HR아팰리스점,"광주 남구 제석로104, 201동 102호 (봉선동 1095)"
충남,예산군,GS25KNU산과대점,"충남 예산군 예산읍 대학로54 (대회리 1, 학생회관)"
경북,구미시,GS25LGD구미A1점,"경북 구미시 3공단2로209 (진평동 642-3, LG디스플레이1공장)"
경북,구미시,GS25LGD구미A2점,"경북 구미시 3공단2로235, 지하1층 (진평동 642)"
경북,구미시,GS25LGD구미복지동점,"경북 구미시 3공단2로174, 1층 (시미동 163, 복지동)"
경북,칠곡군,GS25LGD나래원점,"경북 칠곡군 석적읍 동중리9길13, LG디스플레이 나래원 기숙사 복지관동 1층 (중리 224-1)"
경기,파주시,GS25LGD파주A1동점,"경기 파주시 월롱면 엘지로245, A1동 2층 (덕은리 1239)"
경기,파주시,GS25LGD파주R&D점,"경기 파주시 월롱면 엘지로245, RD동 15층 (덕은리 1239)"
경기,파주시,GS25LGD파주러닝센터점,경기 파주시 월롱면 엘씨디로139 (덕은리 1264)
경기,파주시,GS25LG기숙사점,경기 파주시 월롱면 엘씨디로241번길8-15(덕은리 1248-1)
서울,강서구,GS25LG사이언스파크점,"서울 강서구 마곡중앙10로10, 지하1층 (마곡동 770, 엘지사이언스파크)"
경기,평택시,GS25LG생산기술원점,"경기 평택시 진위면 엘지로222(청호리 19-1, LG디지털파크)"
경기,평택시,GS25LG연구동점,"경기 평택시 진위면 엘지로222, (R1동(연구동)) (청호리 19-1, 엘지전자(주))"
서울,용산구,GS25LG유플러스용산점,"서울 용산구 한강대로32, 지하1층 (한강로3가 65-228, 엘지유플러스)"
경기,파주시,GS25LG이노텍3점,경기 파주시 문산읍 월롱산단2길19(내포리 1636-4)
경기,이천시,GS25LG인화원점,"경기 이천시 마장면 지산로167-72, 1층 일부 (해월리 165-1)"
경북,구미시,GS25LG전자구미1점,경북 구미시 산호대로77(공단2동 299)
경북,구미시,GS25LG전자구미3점,경북 구미시 산호대로77 (공단동 299)
경북,구미시,GS25LG전자기숙사점,경북 구미시 산호대로77(공단2동 299)
경남,창원시,GS25LG전자창원1점,경남 창원시 성산구 성산패총로170 (가음정동 391-2)
서울,마포구,GS25LIG합정점,"서울 마포구 양화로19, 101호 (합정동 471, 지하1층)"
경기,안양시,GS25LS엠트론점,경기 안양시 동안구 엘에스로116번길39(호계1동 555-16)
경기,성남시,GS25NC소프트점,"경기 성남시 분당구 대왕판교로644번길12, 지하1층 (삼평동 668, (주)엔씨소프트판교RD센터)"
서울,강북구,GS25R강북4점,"서울 강북구 도봉로302, 4층 (번동 449-6, 한국마사회강북지점)"
서울,강북구,GS25R강북6점,"서울 강북구 도봉로302, 6층 (번동 449-6, 한국마사회강북지점)"
대구,달성군,GS25R대구3점,대구 달성군 가창면 가창로175길6 (냉천리 27-17)
대전,서구,GS25R대전5점,대전 서구 월평중로21 (월평동 519)
서울,도봉구,GS25R도봉8점,"서울 도봉구 노해로67길14, 8층 일부 (창동 8, 한국마사회창동지점)"
경남,김해시,GS25R부경2,"경남 김해시 가락대로929-1, 2층 (수가동 1333)"
부산,강서구,GS25R부경3점,부산 강서구 가락대로929 (범방동 1833)
경남,김해시,GS25R부경4점,"경남 김해시 가락대로929-1, 4층 (수가동 1333)"
부산,동구,GS25R부산동구2점,"부산 동구 자성로134 (범일2동 825-3, 눌원빌딩)"
부산,동구,GS25R부산동구3점,"부산 동구 자성로134 (범일2동 825-3, 눌원빌딩)"
부산,연제구,GS25R부산연제4점,"부산 연제구 월드컵대로164번길26, 4층 (연산동 1127-1, 장연빌딩)"
서울,강남구,GS25R서울강남4점,"서울 강남구 도산대로529, 4층 (청담동 125-17, KRA프라자)"
경기,과천시,GS25R서울구남2점,"경기 과천시 경마공원대로107, 구관람대 2층 (주암동 685, 한국마사회)"
경기,과천시,GS25R서울구남4점,경기 과천시 주암동렛츠런파크서울 해피빌 구관 4층 남단
경기,과천시,GS25R서울구북3점,"경기 과천시 경마공원대로107, 렛츠런파크서울 해피빌 3층 북단 (주암동 685)"
경기,과천시,GS25R서울구북4점,경기 과천시 주암동렛츠런파크서울 해피빌 구관 4층 북단
경기,과천시,GS25R서울박물관점,경기 과천시 경마공원대로107 (주암동 685)
경기,과천시,GS25R서울신북1점,"경기 과천시 경마공원대로107, 1층 (주암동 685, 신림관대)"
경기,과천시,GS25R서울신북2점,"경기 과천시 경마공원대로107, 신관람대 2층 (주암동 685, 한국마사회)"
경기,과천시,GS25R서울신북3점,"경기 과천시 경마공원대로107 (주암동 685, 신관람대3층북단)"
