,loc1,loc2,name,location
0,경기도,부천시,상동센타점,"경기도 부천시 원미구 상동로 81, 센타프라자 (상동) 105호"
1,경기도,부천시,상동원미점,경기도 부천시 원미구 길주로 70 강산타운
2,경기도,부천시,상동풍림점,경기도 부천시 원미구 부흥로 49 백송마을풍림아이원
3,경기도,부천시,상동하나점,"경기도 부천시 원미구 상이로39번길 7-9, (상동)"
4,대구광역시,수성구,상동황금점,"대구광역시 수성구 청수로12길 12, (상동)"
5,충청남도,천안시,상록리조트유스호스텔,"충청남도 천안시 동남구 수신면 수신로 576, 천안상록리조트내유스호스텔  (장산리)"
6,경기도,안산시,상록본오센터점,경기도 안산시 상록구 석호로 348
7,경기도,안산시,상록수밀레니엄점,"경기도 안산시 상록구 매화로2길 43-2, 일부  (일동)"
8,경기도,의정부시,상록아이파크점,"경기도 의정부시 부용로 172, (신곡동, 상록아이파크)"
9,경기도,안산시,상록월드점,"경기도 안산시 상록구 본삼로 49, 대명빌딩 (본오동) 105호"
10,서울특별시,종로구,상명구기점,"서울특별시 종로구 진흥로22길 17, (구기동)"
11,서울특별시,종로구,상명대점,"서울특별시 종로구 홍지문2길 20, (홍지동) 상명대학교"
12,광주광역시,서구,상무광장점,"광주광역시 서구 상무번영로 41, (치평동)"
13,광주광역시,서구,상무라인점,"광주광역시 서구 마륵로 134, (치평동)"
14,광주광역시,서구,상무로잔티움점,"광주광역시 서구 시청로96번길 15, (치평동)"
15,광주광역시,서구,상무매화점,"광주광역시 서구 상무중앙로38번길 6, (치평동)"
16,광주광역시,서구,상무스타점,"광주광역시 서구 상무시민로 136, (치평동)"
17,광주광역시,서구,상무우량점,"광주광역시 서구 상무시민로 95-2, (치평동)"
18,광주광역시,서구,상무우정점,"광주광역시 서구 상무중앙로34번길 12, (치평동)"
19,광주광역시,서구,상무유지점,"광주광역시 서구 상무연하로 96, (치평동)"
20,광주광역시,서구,상무은혜점,"광주광역시 서구 시청로60번길 19,  (치평동) 1층"
21,광주광역시,서구,상무중흥점,"광주광역시 서구 치평로 80, (치평동)"
22,광주광역시,서구,상무치평점,"광주광역시 서구 상무공원로 9, (치평동)"
23,광주광역시,서구,상무호텔점,"광주광역시 서구 상무연하로 45, (치평동)"
24,서울특별시,중랑구,상봉건영점,"서울특별시 중랑구 신내로7나길 20, (상봉동)"
25,서울특별시,중랑구,상봉대로점,"서울특별시 중랑구 봉우재로 141, 상봉동  (상봉동) 1층"
26,서울특별시,중랑구,상봉데시앙점,"서울특별시 중랑구 신내로7가길 54, (상봉동)"
27,,,상봉듀오트리스점, 
28,서울특별시,중랑구,상봉무지개점,서울특별시 중랑구 상봉중앙로 62
29,서울특별시,중랑구,상봉사랑점,서울특별시 중랑구 면목로96길 10
30,서울특별시,중랑구,상봉점,"서울특별시 중랑구 면목로91길 13, (상봉동)"
31,서울특별시,마포구,상수사거리점,"서울특별시 마포구 와우산로 12, 지 103(상수동) 1층 104호"
32,서울특별시,마포구,상수팜팜점,서울특별시 마포구 와우산로3길 21
33,울산광역시,북구,상안아진점,"울산광역시 북구 아진로 75, 상가(상안동, 쌍용아진그린타운2차아파트)"
34,서울특별시,마포구,상암4단지점,"서울특별시 마포구 월드컵북로 381, 상가동(상암동, 상암월드컵파크4단지아파트) 111호"
35,서울특별시,마포구,상암E스포츠점,"서울특별시 마포구 매봉산로 31, 에스플렉스센터  시너지움(상암동) 15층"
36,서울특별시,마포구,상암JTBC점,"서울특별시 마포구 상암산로 48-6, 디엠씨씨빌딩  지하(상암동) 1층"
37,서울특별시,마포구,상암KGIT점,"서울특별시 마포구 월드컵북로 361, 안상암2단지아파트 디엠씨이(상암동)"
38,서울특별시,마포구,상암MBC점,"서울특별시 마포구 성암로 267,  하편의점(상암동)"
39,,,상암S플렉스점, 
40,서울특별시,마포구,상암YTN사옥점,"서울특별시 마포구 상암산로 76,  하(상암동) 1층"
41,서울특별시,마포구,상암누리꿈점,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어제 지(상암동) 1층 B동 1075호"
42,서울특별시,마포구,상암대로점,서울특별시 마포구 매봉산로2길 1
43,서울특별시,마포구,상암오벨리스크2차점,"서울특별시 마포구 월드컵북로 481, 상암오벨리스크2차아파트(상암동) 1층 2동 101호"
44,서울특별시,마포구,상암오벨리스크점,"서울특별시 마포구 구룡길 19, (상암동) C동 101호"
45,서울특별시,마포구,상암월드컵점,서울특별시 마포구 월드컵북로48길 30
46,,,상암푸르지오점, 
47,서울특별시,마포구,상암프라자점,"서울특별시 마포구 상암산로1길 69, 상암프라자 제(상암동) 1층 105호"
48,서울특별시,성동구,상왕십리역점,"서울특별시 성동구 왕십리로 390, (상왕십리동, 노블리안오피스텔)"
49,서울특별시,성북구,상월곡점,서울특별시 성북구 화랑로18길 48
50,대구광역시,달서구,상인e편한2단지점,대구광역시 달서구 월서로3길 15 상인역E-편한세상2단지
51,대구광역시,달서구,상인낙원점,대구광역시 달서구 월배로40길 133
52,대구광역시,달서구,상인대동점,"대구광역시 달서구 상화북로 78, (상인동)"
53,대구광역시,달서구,상인동먹자골목점,"대구광역시 달서구 월배로40길 46, (상인동)"
54,대구광역시,달서구,상인제림점,대구광역시 달서구 상화북로 210
55,서울특별시,강동구,상일천호대로점,"서울특별시 강동구 천호대로219길 7, (상일동)"
56,경상북도,상주시,상주경북대점,"경상북도 상주시 경상대로 2560-17, (가장동)"
57,경상북도,상주시,상주낙양점,"경상북도 상주시 상서문2길 1, (낙양동)"
58,경상북도,상주시,상주동수로점,경상북도 상주시 동수1길 77
59,경상북도,상주시,상주북천점,"경상북도 상주시 상산로 402, (냉림동)"
60,경상북도,상주시,상주삼백점,"경상북도 상주시 상산로 346, (냉림동)"
61,경상북도,상주시,상주성동점,경상북도 상주시 중앙로 282
62,경상북도,상주시,상주성모병원점,"경상북도 상주시 냉림서성길 7, (냉림동)"
63,경상북도,상주시,상주신봉점,"경상북도 상주시 상산로 163, (신봉동)"
64,경상북도,상주시,상주예식장앞점,"경상북도 상주시 상산로 337, (무양동)"
65,경상북도,상주시,상주운동장남문점,"경상북도 상주시 북상주로 24-7, (계산동)"
66,경상북도,상주시,상주적십자병원앞점,"경상북도 상주시 상서문로 59, (남성동)"
67,경상북도,상주시,상주점,"경상북도 상주시 동수4길 80, (무양동)"
