,Unnamed: 0,name,location,loc1,loc2
0,0,간성읍점,강원도 고성군 간성로 39-2,강원도,고성군
1,1,강대사거리점,강원도 춘천시 백령로 1381층 편의점,강원도,춘천시
2,2,강대천하점,강원도 춘천시 백령로75 (효자동) 1층,강원도,춘천시
3,3,강릉5주공점,강원도 강릉시 월대산로 431층 102호,강원도,강릉시
4,4,강릉경강로점,강원도 강릉시 경강로2258  (포남동),강원도,강릉시
5,5,강릉곶감점,강원도 강릉시 곶감전길9  (성남동),강원도,강릉시
6,6,강릉교동대로점,강원도 강릉시 화부산로 231층,강원도,강릉시
7,7,강릉교동센트럴점,강원도 강릉시 교동광장로100번길 20(교동),강원도,강릉시
8,8,강릉교동점,강원도 강릉시 하슬라로 206번길17  (교동),강원도,강릉시
9,9,강릉교동하슬라점,강원도 강릉시 하슬라로 139,강원도,강릉시
10,10,강릉금진항점,강원도 강릉시 옥계면헌화로 443,강원도,강릉시
11,11,강릉노암점,강원도 강릉시 율곡로 2738번길1,강원도,강릉시
12,12,강릉대림점,강원도 강릉시 노암동남부로 137번길 26,강원도,강릉시
13,13,강릉대원룸점,강원도 강릉시 지변길 1751층(지변동),강원도,강릉시
14,14,강릉대자연관점,강원도 강릉시 지변동죽헌길7,강원도,강릉시
15,15,강릉대학생복지관점,강원도 강릉시 지변동죽헌길7,강원도,강릉시
16,16,강릉더샵점,강원도 강릉시 입암동입암로29번길 11 101호,강원도,강릉시
17,17,강릉동부시장점,강원도 강릉시 옥천동(옥가르50번길 3),강원도,강릉시
18,18,강릉동인병원점,강원도 강릉시 강릉대로419번길 231층,강원도,강릉시
19,19,강릉명륜점,강원도 강릉시 임영로 2421층,강원도,강릉시
20,20,강릉문화점,강원 강릉시 강릉대로 210번길24(임당동),강원,강릉시
21,21,강릉상아점,강원도 강릉시 옥천로 62번길1  (옥천동),강원도,강릉시
22,22,강릉선수촌점,강원도 강릉시 선수촌로 110(유천동),강원도,강릉시
23,23,강릉성덕점,강원도 강릉시 입암동입암로91번길 46,강원도,강릉시
24,24,강릉성산점,강원도 강릉시 성산면 구산길 98,강원도,강릉시
25,25,강릉소금강점,강원도 강릉시 연곡면 진고개로 1507,강원도,강릉시
26,26,강릉송정점,강원도 강릉시 팔송길 271층(송정동),강원도,강릉시
27,27,강릉심곡점,강원도 강릉시 헌화로 670,강원도,강릉시
28,28,강릉씨네몰점,강원도 강릉시 옥천동경강로 2120 630호,강원도,강릉시
29,29,강릉아산병원점,강원도 강릉시 방동길 19,강원도,강릉시
30,30,강릉안목항점,강원 강릉시 경강로2663(견소동),강원,강릉시
31,31,강릉여고점,강원도 강릉시 옥천로34  (옥천동),강원도,강릉시
32,32,강릉연곡캠핑장점,강원도 강릉시 연곡면 해안로 1282-2,강원도,강릉시
33,33,강릉원주대점,강원도 강릉시 지변길18번길 11,강원도,강릉시
34,34,강릉일송점,강원 강릉시 하평3길12-1(포남동),강원,강릉시
35,35,강릉임당점,"강원도 강릉시 경강로 2106 경일플라자102호, 103호 (임당동)",강원도,강릉시
36,36,강릉임당중앙점,강원도 강릉시 토성로 176,강원도,강릉시
37,37,강릉입암주공점,강원도 강릉시 성덕포남로 21-7(입암동),강원도,강릉시
38,38,강릉입암현대점,강원도 강릉시 용지로25(입양동),강원도,강릉시
39,39,강릉제일점,강원 강릉시 옥천동147-4번지,강원,강릉시
40,40,강릉초당점,강원 강릉시 연당길87(초당동),강원,강릉시
41,41,강릉터미널점,강원도 강릉시 하슬라로 141층(홍제동),강원도,강릉시
42,42,강릉포남주공점,강원도 강릉시 산양큰길 38(포남동),강원도,강릉시
43,43,강릉하슬라점,강원도 강릉시 하슬라로232번길 21(교동),강원도,강릉시
44,44,강릉하평길점,강원도 강릉시 하평길2,강원도,강릉시
45,45,강릉한라점,강원도 강릉시 노암동노암길42번길 24 102호,강원도,강릉시
46,46,강릉홍제점,강원도 강릉시 홍제로71번길 12,강원도,강릉시
47,47,강릉홍제한신점,강원도 강릉시 토성로 56-13호,강원도,강릉시
48,48,강릉회산원룸점,강원도 강릉시 관솔길 14,강원도,강릉시
49,49,강릉희망점,강원도 강릉시 강릉대로265,강원도,강릉시
50,50,강원고성점,강원도 고성군 토성로 147,강원도,고성군
51,51,강원대가온관점,강원도 삼척시 전두안길 41,강원도,삼척시
52,52,강원대점,강원도 춘천시 서부대성로241(효자동),강원도,춘천시
53,53,강원랜드점,강원도 정선군 하이원길 2653층 직원매점(강원랜드),강원도,정선군
54,54,강원평창점,강원도 평창군 평창중앙로 4,강원도,평창군
55,55,강촌점,강원도 춘천시 남산면 강촌로112(남산면),강원도,춘천시
56,56,경동대문막기숙사점,강원도 원주시 견훤로 815,강원도,원주시
57,57,경포대점,강원도 강릉시 창해로 4391층 편의점(강문동),강원도,강릉시
58,58,경포바다점,강원도 강릉시 창해로 461,강원도,강릉시
59,59,경포비치점 B,강원도 강릉시 창해로435  (강문동),강원도,강릉시
60,60,경포사근진점,강원도 강릉시 해안로615  (안현동),강원도,강릉시
61,61,경포씨에스타점,강원 강릉시 해안로388(초당동),강원,강릉시
62,62,경포안현점,강원도 강릉시 해안로523,강원도,강릉시
63,63,경포파도점,강원도 강릉시 창해로 4852동1층 4호(강문동),강원도,강릉시
64,64,고성거진점,강원도 고성군 거진읍 행랑골길2,강원도,고성군
65,65,고성경동대점,강원도 고성군 봉포4길 19 세븐일레븐,강원도,고성군
66,66,고성봉포점,강원도 고성군 토성면 토성로 67,강원도,고성군
67,67,고성천진점,강원도 고성군 토성면 토성로121,강원도,고성군
68,68,고한하이힐점,강원 정선군 고한로30 고한읍,강원,정선군
69,69,관동대원룸점,강원도 강릉시 범일로555번길 27(내곡동),강원도,강릉시
70,70,관동대점,강원도 강릉시 관솔길117,강원도,강릉시
71,71,낙산대로점,강원도 양양군 강현면 동해대로3088,강원도,양양군
72,72,낙산비치점,강원도 양양군 해맞이길 95-171층 편의점,강원도,양양군
73,73,낙산용궁점,강원 양양군 강현면 해맞이길26(전진리),강원,양양군
74,74,낙산의상대점,강원 양양군 강현면 낙산사로48(전진리),강원,양양군
75,75,낙산파도점 B,강원 양양군 강현면 일출로3(전진리),강원,양양군
76,76,낙산해변점,강원도 양양군 강현면 일출로31-10,강원도,양양군
77,77,남원주으뜸점,"강원도 원주시 구곡길 10-21, 1층(단구동)",강원도,원주시
78,78,남춘천광장점,강원도 춘천시 우묵길 24-1 세븐일레븐,강원도,춘천시
79,79,단관에버빌점,강원도 원주시 단구로 360단구동,강원도,원주시
80,80,대관령IC점,강원도 평창군 대관령면 경강로 5178,강원도,평창군
81,81,대포항해오름점,강원도 속초시 대포항길37,강원도,속초시
82,82,도계대학로점,강원 삼척시 도계로312 도계읍,강원,삼척시
83,83,동해묵호등대점,강원도 동해시 일출로 121묵호진동,강원도,동해시
