,name,location
0,간성읍점,강원도 고성군 간성로 39-2
1,강대사거리점,강원도 춘천시 백령로 1381층 편의점
2,강대천하점,강원도 춘천시 백령로75 (효자동) 1층
3,강릉5주공점,강원도 강릉시 월대산로 431층 102호
4,강릉경강로점,강원도 강릉시 경강로2258  (포남동)
5,강릉곶감점,강원도 강릉시 곶감전길9  (성남동)
6,강릉교동대로점,강원도 강릉시 화부산로 231층
7,강릉교동센트럴점,강원도 강릉시 교동광장로100번길 20(교동)
8,강릉교동점,강원도 강릉시 하슬라로 206번길17  (교동)
9,강릉교동하슬라점,강원도 강릉시 하슬라로 139
10,강릉금진항점,강원도 강릉시 옥계면헌화로 443
11,강릉노암점,강원도 강릉시 율곡로 2738번길1
12,강릉대림점,강원도 강릉시 노암동남부로 137번길 26
13,강릉대원룸점,강원도 강릉시 지변길 1751층(지변동)
14,강릉대자연관점,강원도 강릉시 지변동죽헌길7
15,강릉대학생복지관점,강원도 강릉시 지변동죽헌길7
16,강릉더샵점,강원도 강릉시 입암동입암로29번길 11 101호
17,강릉동부시장점,강원도 강릉시 옥천동(옥가르50번길 3)
18,강릉동인병원점,강원도 강릉시 강릉대로419번길 231층
19,강릉명륜점,강원도 강릉시 임영로 2421층
20,강릉문화점,강원 강릉시 강릉대로 210번길24(임당동)
21,강릉상아점,강원도 강릉시 옥천로 62번길1  (옥천동)
22,강릉선수촌점,강원도 강릉시 선수촌로 110(유천동)
23,강릉성덕점,강원도 강릉시 입암동입암로91번길 46
24,강릉성산점,강원도 강릉시 성산면 구산길 98
25,강릉소금강점,강원도 강릉시 연곡면 진고개로 1507
26,강릉송정점,강원도 강릉시 팔송길 271층(송정동)
27,강릉심곡점,강원도 강릉시 헌화로 670
28,강릉씨네몰점,강원도 강릉시 옥천동경강로 2120 630호
29,강릉아산병원점,강원도 강릉시 방동길 19
30,강릉안목항점,강원 강릉시 경강로2663(견소동)
31,강릉여고점,강원도 강릉시 옥천로34  (옥천동)
32,강릉연곡캠핑장점,강원도 강릉시 연곡면 해안로 1282-2
33,강릉원주대점,강원도 강릉시 지변길18번길 11
34,강릉일송점,강원 강릉시 하평3길12-1(포남동)
35,강릉임당점,"강원도 강릉시 경강로 2106 경일플라자102호, 103호 (임당동)"
36,강릉임당중앙점,강원도 강릉시 토성로 176
37,강릉입암주공점,강원도 강릉시 성덕포남로 21-7(입암동)
38,강릉입암현대점,강원도 강릉시 용지로25(입양동)
39,강릉제일점,강원 강릉시 옥천동147-4번지
40,강릉초당점,강원 강릉시 연당길87(초당동)
41,강릉터미널점,강원도 강릉시 하슬라로 141층(홍제동)
42,강릉포남주공점,강원도 강릉시 산양큰길 38(포남동)
43,강릉하슬라점,강원도 강릉시 하슬라로232번길 21(교동)
44,강릉하평길점,강원도 강릉시 하평길2
45,강릉한라점,강원도 강릉시 노암동노암길42번길 24 102호
46,강릉홍제점,강원도 강릉시 홍제로71번길 12
47,강릉홍제한신점,강원도 강릉시 토성로 56-13호
48,강릉회산원룸점,강원도 강릉시 관솔길 14
49,강릉희망점,강원도 강릉시 강릉대로265
50,강원고성점,강원도 고성군 토성로 147
51,강원대가온관점,강원도 삼척시 전두안길 41
52,강원대점,강원도 춘천시 서부대성로241(효자동)
53,강원랜드점,강원도 정선군 하이원길 2653층 직원매점(강원랜드)
54,강원평창점,강원도 평창군 평창중앙로 4
55,강촌점,강원도 춘천시 남산면 강촌로112(남산면)
56,경동대문막기숙사점,강원도 원주시 견훤로 815
57,경포대점,강원도 강릉시 창해로 4391층 편의점(강문동)
58,경포바다점,강원도 강릉시 창해로 461
59,경포비치점 B,강원도 강릉시 창해로435  (강문동)
60,경포사근진점,강원도 강릉시 해안로615  (안현동)
61,경포씨에스타점,강원 강릉시 해안로388(초당동)
62,경포안현점,강원도 강릉시 해안로523
63,경포파도점,강원도 강릉시 창해로 4852동1층 4호(강문동)
64,고성거진점,강원도 고성군 거진읍 행랑골길2
65,고성경동대점,강원도 고성군 봉포4길 19 세븐일레븐
66,고성봉포점,강원도 고성군 토성면 토성로 67
67,고성천진점,강원도 고성군 토성면 토성로121
68,고한하이힐점,강원 정선군 고한로30 고한읍
69,관동대원룸점,강원도 강릉시 범일로555번길 27(내곡동)
70,관동대점,강원도 강릉시 관솔길117
71,낙산대로점,강원도 양양군 강현면 동해대로3088
72,낙산비치점,강원도 양양군 해맞이길 95-171층 편의점
73,낙산용궁점,강원 양양군 강현면 해맞이길26(전진리)
74,낙산의상대점,강원 양양군 강현면 낙산사로48(전진리)
75,낙산파도점 B,강원 양양군 강현면 일출로3(전진리)
76,낙산해변점,강원도 양양군 강현면 일출로31-10
77,남원주으뜸점,"강원도 원주시 구곡길 10-21, 1층(단구동)"
78,남춘천광장점,강원도 춘천시 우묵길 24-1 세븐일레븐
79,단관에버빌점,강원도 원주시 단구로 360단구동
80,대관령IC점,강원도 평창군 대관령면 경강로 5178
81,대포항해오름점,강원도 속초시 대포항길37
82,도계대학로점,강원 삼척시 도계로312 도계읍
83,동해묵호등대점,강원도 동해시 일출로 121묵호진동
84,동해엘리시아점,강원도 동해시 평릉동 평원로107
85,동해역점,강원도 동해시 송정로 54(송정동)
86,동해점,강원도 동해시 동굴로 123-4 (천곡동)
87,동해중앙점,강원도 동해시 한섬로114
88,동해천곡원룸점,강원도 동해시 감추4길 11(천곡동)
89,동해천곡점,강원도 동해시 천곡동감추5길 22
90,동해추암점,강원도 동해시 추암동 1-3번지c-2동 104호
91,라마다강원태백점,강원도 태백시 태백산로 4839(소도동 24-13)
92,문막반계리점,강원도 원주시 문막읍 원문로 2139
93,문막엠프라자점,강원도 원주시 문막읍 왕건로 22302호
94,미시령휴게소점,강원도 고성군 미시령로 265310
95,봉평기풍로점,강원도 평창군 봉평면 기풍로150-1
96,봉화산점,강원도 원주시 장미공원길 69단계동
97,삼척근덕점,강원도 삼척시 근덕면 교가길 25
98,삼척대학로점,강원도 삼척시 성당길 95 (당저동)
99,삼척대학점,강원도 삼척시 언장1길46 교동
100,삼척덕산해변점,강원도 삼척시 덕산해변길 92카페외전체
101,삼척도계대로점,강원도 삼척시 도계읍 강원남부로 1706
102,삼척도계생활관점,강원도 삼척시 도계읍도계우회로 76
103,삼척도계점,강원 삼척시도계읍
104,삼척문화거리점,강원도 삼척시 엑스포로2 읍중동
105,삼척삼원점,강원도 삼척시 중앙로185(남양동)
106,삼척온천점,강원도 삼척시 정상동동해대로 4098
107,삼척청솔점,강원 삼척시 정상동457-1
108,삼척한마음점,강원도 삼척시 척주로55-1 현송원룸1층 남양동
109,상지대로점,강원도 원주시 우산동우산로 39
110,상지대양지점,강원도 원주시 우산로 70우산동
111,상지대원룸점,강원도 원주시 북원로 2485번길 58우산동
112,상지영서대점,강원 원주시 우산동상지대길 72
113,서화점,강원도 인제군 서화면천도로149
114,설악켄싱턴호텔점,강원도 속초시 설악산로 998
115,속초갯배점,강원 속초시 중앙동278-89(신주소 검색 않됌)
116,속초교동동부점,강원도 속초시 미시령로 3389번길22
117,속초금호점,"강원도 속초시 번영로 107, 1층(동명동)"
118,속초대포수협점,강원도 속초시 대포항희망1길 36(대포동)
119,속초대포항점,강원 속초시 대포동 동해대로3783(대포동)
120,속초동명점,강원 속초시 번영로145-1(동명동)
121,속초동진리조트점,강원도 속초시 번영로170(영랑동)
122,속초럭키점,강원도 속초시 미시령로3413
123,속초롯데리조트점,"강원도 속초시 대포항길 186지하1층(대포동, 롯데리조트속초)"
124,속초먹거리점,강원 속초시 먹거리2길9(교동)
125,속초미소점,강원 속초시 교동804-63번지 1층 오른쪽상가
126,속초성호점,강원 속초시 청대로2(조양동)
127,속초시청점,강원도 속초시 동명동 중앙로190(설악센트리움 101)
128,속초엑스포점,강원 속초시 조양동1542-11번지
129,속초영랑대박점,강원도 속초시 영랑동영랑로3길 20
130,속초제일점,강원도 속초시 동해대로4024
131,속초조양점,강원도 속초시 조양동동해대로 4002
132,속초청학점,강원도 속초시 중앙로82번길 16(청학동)
133,속초터미널점,강원도 속초시 청호로3(조양동)
134,속초하우스토리점,강원도 속초시 동해대로4280
135,속초항점,강원도 속초시 중앙로 216
136,신남삼성점,강원도 인제군 남면 신남로 58번길9-3(남면)
137,신원주본점,강원도 원주시 장미공원길 27-5단계동
138,양구로드점,강원도 양구군 죽곡로73번길 1
139,양구백두산점,강원도 양구군 평화로 5447
140,양구비봉로점,강원도 양구군 양구읍 비봉로64-4
141,양구상리점,강원도 양구군 양구읍청춘로25 1층 1호(대명상가)
142,양구성심점,강원도 양구군 양구읍 중앙길 65-27
143,양구점 B,강원도 양구군 양구읍 비봉로40-11
144,양구정중앙터미널점,강원도 양구군 남면 정중앙로610
145,양양국제공항점,강원도 양양군 손양면 공항로201
146,양양군청길점,강원도 양양군 양양읍 군청길 491층
