,gs,cu,seven,total
경기 수원시,224.0,253.0,372.0,849.0
제주 제주시,204.0,264.0,358.0,826.0
경남 창원시,292.0,275.0,244.0,811.0
서울 강남구,276.0,187.0,336.0,799.0
경기 성남시,239.0,182.0,354.0,775.0
경기 용인시,227.0,191.0,308.0,726.0
충남 천안시,226.0,168.0,310.0,704.0
경기 고양시,204.0,210.0,284.0,698.0
충북 청주시,191.0,217.0,262.0,670.0
경기 부천시,213.0,157.0,258.0,628.0
경기 안산시,149.0,165.0,298.0,612.0
경기 화성시,186.0,185.0,240.0,611.0
경기 평택시,161.0,140.0,274.0,575.0
서울 송파구,162.0,119.0,252.0,533.0
전북 전주시,144.0,122.0,238.0,504.0
서울 마포구,161.0,127.0,214.0,502.0
서울 강서구,138.0,133.0,184.0,455.0
서울 서초구,133.0,110.0,206.0,449.0
경북 구미시,98.0,102.0,234.0,434.0
서울 영등포구,173.0,98.0,158.0,429.0
서울 관악구,138.0,121.0,162.0,421.0
경기 남양주시,112.0,111.0,196.0,419.0
서울 중구,102.0,88.0,216.0,406.0
경기 시흥시,107.0,89.0,198.0,394.0
경기 안양시,129.0,109.0,154.0,392.0
인천 서구,106.0,120.0,164.0,390.0
대전 서구,115.0,97.0,178.0,390.0
경남 김해시,135.0,93.0,160.0,388.0
인천 부평구,103.0,101.0,172.0,376.0
경북 포항시,125.0,107.0,138.0,370.0
경기 의정부시,114.0,98.0,156.0,368.0
서울 동대문구,109.0,94.0,160.0,363.0
대구 달서구,100.0,82.0,170.0,352.0
경남 거제시,94.0,103.0,154.0,351.0
제주 서귀포시,101.0,132.0,116.0,349.0
인천 남동구,121.0,73.0,154.0,348.0
강원 원주시,89.0,96.0,158.0,343.0
서울 강동구,99.0,94.0,146.0,339.0
서울 광진구,99.0,90.0,148.0,337.0
서울 은평구,104.0,83.0,148.0,335.0
서울 성북구,106.0,77.0,140.0,323.0
충남 아산시,112.0,93.0,118.0,323.0
경기 파주시,108.0,101.0,108.0,317.0
서울 종로구,79.0,92.0,142.0,313.0
경기 김포시,82.0,73.0,154.0,309.0
광주 북구,80.0,68.0,154.0,302.0
인천 남구,98.0,87.0,116.0,301.0
서울 동작구,113.0,69.0,116.0,298.0
경남 진주시,101.0,99.0,98.0,298.0
서울 노원구,108.0,73.0,112.0,293.0
강원 춘천시,81.0,94.0,114.0,289.0
서울 구로구,98.0,78.0,108.0,284.0
부산 해운대구,85.0,89.0,110.0,284.0
부산 부산진구,76.0,97.0,108.0,281.0
경기 이천시,67.0,71.0,140.0,278.0
강원 강릉시,67.0,82.0,126.0,275.0
서울 서대문구,91.0,87.0,96.0,274.0
울산 남구,88.0,68.0,118.0,274.0
대전 유성구,86.0,71.0,116.0,273.0
서울 양천구,82.0,72.0,116.0,270.0
경기 안성시,40.0,62.0,164.0,266.0
광주 광산구,58.0,61.0,146.0,265.0
대구 북구,66.0,67.0,130.0,263.0
서울 중랑구,90.0,72.0,94.0,256.0
인천 연수구,72.0,76.0,106.0,254.0
경북 경주시,70.0,79.0,104.0,253.0
서울 성동구,70.0,77.0,100.0,247.0
서울 강북구,67.0,69.0,108.0,244.0
서울 용산구,78.0,69.0,96.0,243.0
경남 양산시,99.0,72.0,70.0,241.0
경북 경산시,76.0,67.0,92.0,235.0
전북 군산시,92.0,46.0,94.0,232.0
광주 서구,51.0,57.0,120.0,228.0
인천 계양구,61.0,59.0,104.0,224.0
대구 수성구,56.0,56.0,106.0,218.0
서울 금천구,78.0,63.0,76.0,217.0
서울 도봉구,57.0,54.0,96.0,207.0
대구 동구,50.0,53.0,100.0,203.0
세종,56.0,49.0,96.0,201.0
충북 충주시,48.0,75.0,76.0,199.0
경기 포천시,55.0,83.0,50.0,188.0
경기 양주시,60.0,54.0,72.0,186.0
전남 여수시,77.0,37.0,70.0,184.0
전북 익산시,53.0,53.0,74.0,180.0
경기 광주시,106.0,72.0,0.0,178.0
경기 오산시,59.0,53.0,66.0,178.0
대전 중구,54.0,48.0,74.0,176.0
부산 금정구,60.0,40.0,74.0,174.0
부산 사하구,73.0,51.0,50.0,174.0
울산 울주군,59.0,48.0,66.0,173.0
경기 광명시,54.0,45.0,66.0,165.0
전남 목포시,32.0,43.0,88.0,163.0
대전 동구,51.0,46.0,66.0,163.0
부산 동래구,43.0,41.0,74.0,158.0
충북 음성군,36.0,24.0,96.0,156.0
인천 중구,43.0,49.0,64.0,156.0
전남 순천시,51.0,41.0,62.0,154.0
충남 서산시,33.0,54.0,66.0,153.0
부산 남구,46.0,45.0,62.0,153.0
대구 달성군,51.0,19.0,82.0,152.0
경기 군포시,38.0,37.0,72.0,147.0
충남 당진시,55.0,24.0,62.0,141.0
부산 사상구,41.0,51.0,48.0,140.0
부산 연제구,34.0,42.0,64.0,140.0
경북 칠곡군,35.0,35.0,68.0,138.0
경기 하남시,53.0,31.0,52.0,136.0
부산 기장군,42.0,32.0,62.0,136.0
경남 통영시,38.0,58.0,40.0,136.0
경기 광주,0.0,0.0,136.0,136.0
대전 대덕구,35.0,34.0,64.0,133.0
부산 북구,42.0,51.0,40.0,133.0
부산 수영구,38.0,32.0,62.0,132.0
충북 제천시,35.0,49.0,48.0,132.0
경기 구리시,44.0,33.0,54.0,131.0
경북 안동시,28.0,36.0,62.0,126.0
울산 동구,39.0,42.0,40.0,121.0
울산 중구,37.0,39.0,42.0,118.0
광주 남구,23.0,42.0,50.0,115.0
울산 북구,44.0,38.0,32.0,114.0
강원 속초시,26.0,42.0,46.0,114.0
대구 중구,26.0,23.0,62.0,111.0
인천 강화군,18.0,17.0,72.0,107.0
충북 진천군,24.0,22.0,60.0,106.0
경기 양평군,20.0,46.0,40.0,106.0
부산 강서구,29.0,38.0,38.0,105.0
대구 남구,19.0,19.0,66.0,104.0
충남 보령시,26.0,31.0,46.0,103.0
광주 동구,21.0,24.0,56.0,101.0
경기 가평군,20.0,36.0,42.0,98.0
전남 광양시,27.0,16.0,52.0,95.0
경남 사천시,32.0,34.0,28.0,94.0
경기 동두천시,30.0,24.0,40.0,94.0
충남 공주시,30.0,18.0,46.0,94.0
경기 여주시,32.0,33.0,28.0,93.0
경북 김천시,35.0,26.0,30.0,91.0
대구 서구,20.0,24.0,46.0,90.0
경기 의왕시,32.0,15.0,42.0,89.0
경남 밀양시,21.0,28.0,38.0,87.0
강원 삼척시,22.0,36.0,28.0,86.0
충남 홍성군,30.0,36.0,16.0,82.0
부산 서구,22.0,23.0,34.0,79.0
강원 동해시,22.0,41.0,16.0,79.0
충남 논산시,30.0,14.0,32.0,76.0
부산 중구,27.0,15.0,30.0,72.0
충남 예산군,21.0,24.0,26.0,71.0
강원 평창군,19.0,25.0,26.0,70.0
부산 동구,19.0,19.0,26.0,64.0
전북 완주군,27.0,14.0,22.0,63.0
부산 영도구,18.0,24.0,20.0,62.0
강원 정선군,17.0,25.0,20.0,62.0
경기 과천시,18.0,19.0,24.0,61.0
경북 영주시,10.0,24.0,26.0,60.0
강원 홍천군,16.0,22.0,20.0,58.0
경북 영천시,13.0,19.0,26.0,58.0
충남 태안군,12.0,25.0,20.0,57.0
전남 무안군,14.0,10.0,32.0,56.0
경남 창녕군,17.0,11.0,28.0,56.0
강원 양양군,13.0,16.0,26.0,55.0
경남 함안군,17.0,10.0,28.0,55.0
충북 청원군,16.0,0.0,36.0,52.0
전북 정읍시,14.0,22.0,14.0,50.0
강원 태백시,14.0,20.0,14.0,48.0
충북 증평군,19.0,10.0,18.0,47.0
경남 거창군,11.0,12.0,24.0,47.0
경북 상주시,16.0,16.0,12.0,44.0
전남 완도군,12.0,18.0,14.0,44.0
경북 울진군,14.0,17.0,12.0,43.0
충남 서천군,13.0,15.0,14.0,42.0
전북 김제시,14.0,12.0,16.0,42.0
경북 영덕군,8.0,13.0,20.0,41.0
경남 고성군,11.0,17.0,12.0,40.0
경기 연천군,9.0,20.0,10.0,39.0
강원 인제군,8.0,15.0,16.0,39.0
강원 횡성군,4.0,22.0,12.0,38.0
강원 철원군,8.0,13.0,16.0,37.0
전남 나주시,13.0,1.0,22.0,36.0
강원 고성군,7.0,15.0,14.0,36.0
인천 동구,8.0,9.0,18.0,35.0
전북 무주군,4.0,24.0,6.0,34.0
충남 부여군,7.0,12.0,14.0,33.0
충남 금산군,9.0,13.0,10.0,32.0
인천 옹진군,6.0,12.0,14.0,32.0
강원 화천군,7.0,10.0,14.0,31.0
전북 부안군,6.0,11.0,14.0,31.0
경북 문경시,10.0,14.0,6.0,30.0
전남 영광군,6.0,6.0,18.0,30.0
전남 해남군,9.0,11.0,10.0,30.0
강원 영월군,12.0,13.0,4.0,29.0
전남 영암군,11.0,4.0,14.0,29.0
강원 양구군,4.0,10.0,14.0,28.0
충북 영동군,4.0,12.0,10.0,26.0
경북 성주군,10.0,7.0,8.0,25.0
충남 계룡시,8.0,3.0,12.0,23.0
경북 고령군,5.0,2.0,16.0,23.0
전남 고흥군,1.0,11.0,10.0,22.0
충북 옥천군,7.0,7.0,8.0,22.0
전북 남원시,13.0,1.0,6.0,20.0
전남 화순군,3.0,5.0,12.0,20.0
충북 괴산군,4.0,4.0,12.0,20.0
경북 예천군,6.0,8.0,6.0,20.0
경남 남해군,10.0,0.0,10.0,20.0
전북 고창군,3.0,6.0,10.0,19.0
충남 청양군,3.0,4.0,12.0,19.0
경남 함양군,3.0,9.0,6.0,18.0
경남 의령군,4.0,5.0,8.0,17.0
전남 장흥군,4.0,6.0,6.0,16.0
경남 합천군,5.0,3.0,8.0,16.0
제주 특별자치도,0.0,0.0,14.0,14.0
충북 보은군,4.0,6.0,4.0,14.0
전남 강진군,3.0,6.0,4.0,13.0
전남 장성군,4.0,3.0,6.0,13.0
충북 단양군,9.0,0.0,4.0,13.0
경남 하동군,5.0,6.0,2.0,13.0
전남 곡성군,4.0,3.0,4.0,11.0
경북 청도군,5.0,4.0,2.0,11.0
경남 산청군,4.0,5.0,2.0,11.0
경북 의성군,3.0,3.0,4.0,10.0
전남 보성군,1.0,2.0,6.0,9.0
전북 순창군,2.0,1.0,6.0,9.0
전남 진도군,1.0,6.0,2.0,9.0
충남 서북구,0.0,0.0,8.0,8.0
충남 연기군,0.0,0.0,8.0,8.0
전북 임실군,3.0,2.0,2.0,7.0
경북 청송군,2.0,3.0,2.0,7.0
전남 신안군,0.0,7.0,0.0,7.0
대구 시,0.0,0.0,6.0,6.0
전남 담양군,4.0,2.0,0.0,6.0
전남 구례군,2.0,2.0,2.0,6.0
전북 진안군,1.0,2.0,2.0,5.0
경북 봉화군,2.0,3.0,0.0,5.0
경북 울릉군,2.0,3.0,0.0,5.0
전북 장수군,1.0,3.0,0.0,4.0
전남 함평군,1.0,2.0,0.0,3.0
경북 영양군,1.0,2.0,0.0,3.0
경기 여주군,1.0,0.0,2.0,3.0
충남 천안신,0.0,0.0,2.0,2.0
광주 금화로,0.0,0.0,2.0,2.0
경기 장흥면,0.0,0.0,2.0,2.0
충남 연무읍,0.0,0.0,2.0,2.0
경남 김해서,0.0,0.0,2.0,2.0
경기 연천구,0.0,0.0,2.0,2.0
서울 봉은사로,0.0,0.0,2.0,2.0
경기 양평시,0.0,0.0,2.0,2.0
경기 양주군,0.0,0.0,2.0,2.0
경기 안양동,0.0,0.0,2.0,2.0
경기 안신시,0.0,0.0,2.0,2.0
경기 상록구,0.0,0.0,2.0,2.0
경남 남도,0.0,0.0,2.0,2.0
충남 당진군,0.0,0.0,2.0,2.0
경남 진해시,0.0,0.0,2.0,2.0
인천 계산로,0.0,0.0,2.0,2.0
인천 부흥로,0.0,0.0,2.0,2.0
전남 목표시,0.0,0.0,2.0,2.0
경북 구미,0.0,0.0,2.0,2.0
경북 군위군,1.0,1.0,0.0,2.0
제주 nan,0.0,0.0,2.0,2.0
화성 향납읍,0.0,1.0,0.0,1.0
