,loc,gs,cu,seven,stores,ppl,1p,1p_ratio,loc1,loc2,store_ratio
75,경기 수원시,224.0,253.0,372.0,849.0,436304.0,119552.0,0.274010781473468,경기,수원시,0.020686630442728005
242,제주 제주시,204.0,264.0,358.0,826.0,168957.0,45972.0,0.2720928993767645,제주,제주시,0.02012621524816647
226,경남 창원시,292.0,275.0,244.0,811.0,393675.0,103285.0,0.26236108465104463,경남,창원시,0.019760727077800248
22,서울 강남구,276.0,187.0,336.0,799.0,208904.0,61998.0,0.29677746716194997,서울,강남구,0.019468336541507272
76,경기 성남시,239.0,182.0,354.0,775.0,358928.0,98141.0,0.2734280969999554,경기,성남시,0.01888355546892132
95,경기 용인시,227.0,191.0,308.0,726.0,330588.0,65405.0,0.197844446864375,경기,용인시,0.01768962744572501
141,충남 천안시,226.0,168.0,310.0,704.0,238778.0,75329.0,0.3154771377597601,충남,천안시,0.017153578129187885
86,경기 고양시,204.0,210.0,284.0,698.0,357684.0,77285.0,0.21607060981201284,경기,고양시,0.0170073828610414
128,충북 청주시,191.0,217.0,262.0,670.0,314331.0,89676.0,0.28529161934394,충북,청주시,0.01632513827635779
79,경기 부천시,213.0,157.0,258.0,628.0,304268.0,71647.0,0.23547333271983908,경기,부천시,0.015301771399332375
83,경기 안산시,149.0,165.0,298.0,612.0,256238.0,71870.0,0.28048142742294274,경기,안산시,0.014911917350941741
100,경기 화성시,186.0,185.0,240.0,611.0,220427.0,52899.0,0.23998421246036103,경기,화성시,0.014887551472917327
81,경기 평택시,161.0,140.0,274.0,575.0,170771.0,47126.0,0.2759602040159043,경기,평택시,0.014010379864038401
23,서울 송파구,162.0,119.0,252.0,533.0,230801.0,54409.0,0.2357398798098795,서울,송파구,0.012987012987012988
158,전북 전주시,144.0,122.0,238.0,504.0,249563.0,71515.0,0.2865609084680021,전북,전주시,0.012280402524304963
13,서울 마포구,161.0,127.0,214.0,502.0,153610.0,53382.0,0.3475164377319185,서울,마포구,0.012231670768256134
15,서울 강서구,138.0,133.0,184.0,455.0,222652.0,60988.0,0.27391624598027414,서울,강서구,0.011086474501108648
21,서울 서초구,133.0,110.0,206.0,449.0,155051.0,38357.0,0.24738311910274685,서울,서초구,0.01094027923296216
200,경북 구미시,98.0,102.0,234.0,434.0,159917.0,48338.0,0.3022693022005165,경북,구미시,0.01057479106259594
18,서울 영등포구,173.0,98.0,158.0,429.0,146904.0,49453.0,0.33663480912704896,서울,영등포구,0.010452961672473868
20,서울 관악구,138.0,121.0,162.0,421.0,230570.0,103972.0,0.4509346402394067,서울,관악구,0.010258034648278552
89,경기 남양주시,112.0,111.0,196.0,419.0,220424.0,39032.0,0.1770769063259899,경기,남양주시,0.010209302892229722
1,서울 중구,102.0,88.0,216.0,406.0,51503.0,19671.0,0.38193891617964004,서울,중구,0.009892546477912332
91,경기 시흥시,107.0,89.0,198.0,394.0,145794.0,38217.0,0.26213012881188524,경기,시흥시,0.009600155941619356
78,경기 안양시,129.0,109.0,154.0,392.0,205736.0,42112.0,0.2046895049966948,경기,안양시,0.009551424185570527
56,인천 서구,106.0,120.0,164.0,390.0,174707.0,35016.0,0.20042700063534946,인천,서구,0.009502692429521698
66,대전 서구,115.0,97.0,178.0,390.0,190211.0,56602.0,0.29757479851323004,대전,서구,0.009502692429521698
222,경남 김해시,135.0,93.0,160.0,388.0,187699.0,44413.0,0.23661820254769605,경남,김해시,0.009453960673472869
54,인천 부평구,103.0,101.0,172.0,376.0,198909.0,46426.0,0.23340321453529,인천,부평구,0.009161570137179893
196,경북 포항시,125.0,107.0,138.0,370.0,199175.0,53247.0,0.26733776829421363,경북,포항시,0.009015374869033406
77,경기 의정부시,114.0,98.0,156.0,368.0,157212.0,37293.0,0.23721471643386002,경기,의정부시,0.008966643112984576
5,서울 동대문구,109.0,94.0,160.0,363.0,145179.0,52650.0,0.3626557559977683,서울,동대문구,0.008844813722862504
47,대구 달서구,100.0,82.0,170.0,352.0,220750.0,55091.0,0.24956285390713476,대구,달서구,0.008576789064593943
224,경남 거제시,94.0,103.0,154.0,351.0,95037.0,26678.0,0.2807117228026979,경남,거제시,0.008552423186569529
243,제주 서귀포시,101.0,132.0,116.0,349.0,60380.0,16869.0,0.27938058959920503,제주,서귀포시,0.0085036914305207
53,인천 남동구,121.0,73.0,154.0,348.0,192717.0,45452.0,0.23584842022239866,인천,남동구,0.008479325552496284
109,강원 원주시,89.0,96.0,158.0,343.0,131233.0,39399.0,0.3002217430067132,강원,원주시,0.008357496162374212
24,서울 강동구,99.0,94.0,146.0,339.0,160021.0,39469.0,0.2466488773348498,서울,강동구,0.008260032650276554
4,서울 광진구,99.0,90.0,148.0,337.0,146196.0,53169.0,0.36368300090289746,서울,광진구,0.008211300894227724
11,서울 은평구,104.0,83.0,148.0,335.0,178775.0,44440.0,0.24858061809537127,서울,은평구,0.008162569138178895
7,서울 성북구,106.0,77.0,140.0,323.0,174370.0,54117.0,0.3103572862304295,서울,성북구,0.00787017860188592
